Certificate Name,Type,URL,Emails Found,Error
Unknown Certificate,text,https://wontry.en.made-in-china.com/custom-detail/QmExEnJrMQlnJQJEnxmyGxLE/CE-certificate.html,,
CE certificate,text,https://wontry.en.made-in-china.com/custom-detail/QmExEnJrMQlnJQJEnxmyGxLE/CE-certificate.html,,
Unknown Certificate,text,https://wontry.en.made-in-china.com/custom-detail/QmExEnJrMQlnJQJEnxmyGxLE/CE-certificate.html,,
CE certificate,text,https://wontry.en.made-in-china.com/custom-detail/QmExEnJrMQlnJQJEnxmyGxLE/CE-certificate.html,,
Supplier Audit Report,,https://www.made-in-china.com//www.made-in-china.com/audited-suppliers/for-buyers/,,404 Client Error:  for url: https://www.made-in-china.com//www.made-in-china.com/audited-suppliers/for-buyers/
SGS,,https://www.made-in-china.com//www.made-in-china.com/audited-suppliers/for-buyers/,,404 Client Error:  for url: https://www.made-in-china.com//www.made-in-china.com/audited-suppliers/for-buyers/
Verify Now,text,https://auditedsupplier.sgsgroup.com.cn/,,
加入认证供应商,,https://www.made-in-china.com//www.made-in-china.com/audited-suppliers/for-suppliers/,,404 Client Error:  for url: https://www.made-in-china.com//www.made-in-china.com/audited-suppliers/for-suppliers/
CB Certificate Certificate,,https://www.made-in-china.com//image.made-in-china.com/211f0j00FMvTDGSmffoc/CB-Certificate.webp,,404 Client Error:  for url: https://www.made-in-china.com//image.made-in-china.com/211f0j00FMvTDGSmffoc/CB-Certificate.webp
duct Certificate,,https://www.made-in-china.com//membercenter.made-in-china.com/product.do?xcase=list,,404 Client Error:  for url: https://www.made-in-china.com//membercenter.made-in-china.com/product.do?xcase=list
lier Certificate,image,https://www.micstatic.com/common/img/icon-new/as_32.png?_v=1755167868766,,pytesseract not installed
SGS Certificate,,https://www.made-in-china.com//www.made-in-china.com/audited-suppliers/for-buyers/,,404 Client Error:  for url: https://www.made-in-china.com//www.made-in-china.com/audited-suppliers/for-buyers/
HINA Certificate,,https://www.made-in-china.com//image.made-in-china.com/211f0j00hvYEWtVrmzkU/MADE-in-CHINA-AUDITED-SUPPLIER.webp,,404 Client Error:  for url: https://www.made-in-china.com//image.made-in-china.com/211f0j00hvYEWtVrmzkU/MADE-in-CHINA-AUDITED-SUPPLIER.webp
duct Certificate,,https://www.made-in-china.com//membercenter.made-in-china.com/product.do?xcase=list,,404 Client Error:  for url: https://www.made-in-china.com//membercenter.made-in-china.com/product.do?xcase=list
duct Certificate,,https://www.made-in-china.com//membercenter.made-in-china.com/product.do?xcase=list,,404 Client Error:  for url: https://www.made-in-china.com//membercenter.made-in-china.com/product.do?xcase=list
