keyword,title,listing_url,item_number,sku,price,currency,min_order_quantity,max_order_quantity,description,seller_name,seller_profile_url,seller_rating,seller_total_reviews,seller_business_name,seller_country,seller_address,seller_email,scraped_at,last_updated
certified,Wholesale 2.5mm2 BV Building Wire CECertifiedPVC Insulated Copper Electric Wire,https://jinlingcable.en.made-in-china.com/product/DpWrhFHGJAcY/China-Wholesale-2-5mm2-BV-Building-Wire-CE-Certified-PVC-Insulated-Copper-Electric-Wire.html?ads_tp=ppc&ads_id=ZxaEDGKyYQcX,,Electric,0.01,USD,,,"CE certifiedvalid since 2024-12-12(contact issuer for current status)Wholesale 2.5mm2 BV Building Wire CECertifiedPVC Insulated Copper Electric WireUS$ 0.01-0.03/ Meter100 Meters(MOQ)Jiangsu Jinling Cable Co., Ltd.Jiangsu Jinling Cable Co., Ltd.Diamond MemberAudited SupplierSecured TradingJiangsu, ChinaManufacturer/Factory & Trading CompanyISO9001:2015, ISO45001:2018, ISO14001Enjoy trading protection from Made-in-China.comView larger video & image","Jiangsu Jinling Cable Co., Ltd.",https://jinlingcable.en.made-in-china.com?ads_tp=ppc&ads_id=ZxaEDGKyYQcX,,,"Post Sourcing Request
















                                    Jiangsu Jinling Cable Co.","Jiangsu, China","No. 1, Jinhua Road, Guli Industry Zone",,2025-08-15T12:54:38.581269,
certified,CECertifiedPVC Insulation Nycwy Cable Weather Resistant UV Resistant Power Cable,https://jinlingcable.en.made-in-china.com/product/srCpjzhTZaVM/China-CE-Certified-PVC-Insulation-Nycwy-Cable-Weather-Resistant-UV-Resistant-Power-Cable.html?ads_tp=ppc&ads_id=ZxaEDGKyYQcX,,Power,0.01,USD,,,"CECertifiedPVC Insulation Nycwy Cable Weather Resistant UV Resistant Power CableUS$ 0.01-0.03/ Meter100 Meters(MOQ)Jiangsu Jinling Cable Co., Ltd.Jiangsu Jinling Cable Co., Ltd.Diamond MemberAudited SupplierSecured TradingJiangsu, ChinaManufacturer/Factory & Trading CompanyISO9001:2015, ISO45001:2018, ISO14001Enjoy trading protection from Made-in-China.comView larger video & image","Jiangsu Jinling Cable Co., Ltd.",https://jinlingcable.en.made-in-china.com?ads_tp=ppc&ads_id=ZxaEDGKyYQcX,,,"Post Sourcing Request
















                                    Jiangsu Jinling Cable Co.","Jiangsu, China","No. 1, Jinhua Road, Guli Industry Zone",,2025-08-15T12:54:53.847540,
certified,ISO9001CertifiedCNC Aluminum Alloy Machining Services Custom Aluminum 7075 6061 Mechanical Structural Parts,https://zwmetalpart.en.made-in-china.com/product/qFgaYhIBbStA/China-ISO9001-Certified-CNC-Aluminum-Alloy-Machining-Services-Custom-Aluminum-7075-6061-Mechanical-Structural-Parts.html?ads_tp=ppc&ads_id=VnaEMkdGOQhK,,MIC-L-ZW-250730,0.9,USD,1.0,,"ISO9001CertifiedCNC Aluminum Alloy Machining Services Custom Aluminum 7075 6061 Mechanical Structural PartsUS$ 0.9-4.35/ Piece1 Piece(MOQ)Dongguan Zhongwei Metal Products Co., Ltd.Dongguan Zhongwei Metal Products Co., Ltd.Diamond MemberAudited SupplierSecured TradingGuangdong, ChinaEnjoy trading protection from Made-in-China.comView larger video & image5(5.0)""Great Customer Service""Great Customer Service","Dongguan Zhongwei Metal Products Co., Ltd.",https://zwmetalpart.en.made-in-china.com?ads_tp=ppc&ads_id=VnaEMkdGOQhK,5.0,5.0,Dongguan Zhongwei Metal Products Co.,"Guangdong, China","Dongguan, Guangdong, China",,2025-08-15T12:55:01.532508,
certified,CECertifiedDN15 Ultrasonic Water Meter – W-Mbus 433 / Lorawan 868 / RS-485 / M-Bus / Valve / U0d0,https://shenitech.en.made-in-china.com/product/ZGHRcParYLkv/China-CE-Certified-DN15-Ultrasonic-Water-Meter-ndash-W-Mbus-433-Lorawan-868-RS-485-M-Bus-Valve-U0d0.html?ads_tp=ppc&ads_id=WnREIomFsQVX,9026809000,SKW-S,19.0,USD,1.0,,"CECertifiedDN15 Ultrasonic Water Meter – W-Mbus 433 / Lorawan 868 / RS-485 / M-Bus / Valve / U0d0US$ 19-33/ Piece1 Piece(MOQ)Chengdu Shenitech Instruments Co. LtdChengdu Shenitech Instruments Co. LtdDiamond MemberAudited SupplierSecured TradingSichuan, ChinaManufacturer/Factory & Trading CompanyISO9001:2015, ISO45001:2018, ISO14001Enjoy trading protection from Made-in-China.comView larger video & image",Chengdu Shenitech Instruments Co. Ltd,https://shenitech.en.made-in-china.com?ads_tp=ppc&ads_id=WnREIomFsQVX,,,Our company,"Chengdu, China","Room 301, Zone 2, No.2666 Konggang 4th Road",,2025-08-15T12:55:09.273649,
certified,ISO & BrcgsCertifiedFactory Flexo Printing Laminating Film Roll BOPP Film,https://novelpackaging.en.made-in-china.com/product/XJvpjnSPEbhK/China-ISO-Brcgs-Certified-Factory-Flexo-Printing-Laminating-Film-Roll-BOPP-Film.html,3923290000,lamination,0.25,USD,,,"ISO & BrcgsCertifiedFactory Flexo Printing Laminating Film Roll BOPP FilmUS$ 0.25-0.3/ Square Meter10000 Square Meters(MOQ)NOVEL (HUANGSHAN) PACKAGING CO., LTD.NOVEL (HUANGSHAN) PACKAGING CO., LTD.Diamond MemberAudited SupplierSecured TradingAnhui, ChinaManufacturer/Factory & Trading CompanyISO9001:2015, ISO14001:2015, OthersEnjoy trading protection from Made-in-China.comView larger video & image","NOVEL (HUANGSHAN) PACKAGING CO., LTD.",https://novelpackaging.en.made-in-china.com,,,Packaging Co.,"Anhui, China","No. 99, Meilin Avenue, Huangshan Economic Development Zone",,2025-08-15T12:55:25.480407,
certified,CECertifiedBakery Equipment 62L Capacity Commercial Countertop Electric Convection Toaster Baking Oven with 4 Pan with Steaming Function At39 H90 (YSD-1AE),https://rebenet.en.made-in-china.com/product/EwdAOXITbGhQ/China-CE-Certified-Bakery-Equipment-62L-Capacity-Commercial-Countertop-Electric-Convection-Toaster-Baking-Oven-with-4-Pan-with-Steaming-Function-At39-H90-YSD-1AE-.html?ads_tp=&ads_id=oNvATpBYCgDS,,YSD-1AE,228.0,USD,10.0,,"CE certifiedvalid since 2023-12-18(contact issuer for current status)CECertifiedBakery Equipment 62L Capacity Commercial Countertop Electric Convection Toaster Baking Oven with 4 Pan with Steaming Function At39 H90 (YSD-1AE)US$ 228-242/ Piece10 Pieces(MOQ)Guangzhou Rebenet Catering Equipment Manufacturing Co., Ltd.Guangzhou Rebenet Catering Equipment Manufacturing Co., Ltd.Diamond MemberAudited SupplierSecured TradingGuangdong, ChinaISO9001:2015, ISO14001:2015, ISO45001:2016Enjoy trading protection from Made-in-China.comView larger video & image5(5.0)""Immediate Response""Immediate Response","Guangzhou Rebenet Catering Equipment Manufacturing Co., Ltd.",https://rebenet.en.made-in-china.com?ads_tp=&ads_id=oNvATpBYCgDS,5.0,5.0,Guangzhou Rebenet Catering Equipment Manufacturing Co.,"Guangdong, China","Jintian Industrial Park, No. 17, Huadong Town",,2025-08-15T12:55:33.601024,
certified,Seamless Steel Pipe 10# 45# Sizes Fixed Lengths 6m 12m Irregular Lengths Multiple Length Options ISO9001CertifiedFluid Pipe A36 A53 A106,https://maxgroup01.en.made-in-china.com/product/oOIASgUKXvGJ/China-Seamless-Steel-Pipe-10-45-Sizes-Fixed-Lengths-6m-12m-Irregular-Lengths-Multiple-Length-Options-ISO9001-Certified-Fluid-Pipe-A36-A53-A106.html?ads_tp=&ads_id=jyNAilvPMDHX,7304399000,ISO9001,545.0,USD,,,"CE certifiedvalid since 2025-03-07(contact issuer for current status)Seamless Steel Pipe 10# 45# Sizes Fixed Lengths 6m 12m Irregular Lengths Multiple Length Options ISO9001CertifiedFluid Pipe A36 A53 A106US$ 545-585/ Ton5 Tons(MOQ)Liaocheng Mingxing Pipe Industry Manufacturing Co., Ltd.Liaocheng Mingxing Pipe Industry Manufacturing Co., Ltd.Diamond MemberAudited SupplierShandong, ChinaManufacturer/Factory & Trading CompanyView larger video & image","Liaocheng Mingxing Pipe Industry Manufacturing Co., Ltd.",https://maxgroup01.en.made-in-china.com?ads_tp=&ads_id=jyNAilvPMDHX,,,Liaocheng Mingxing Pipe Manufacturing Co.,"Shandong, China","Liaocheng, Shandong, China",,2025-08-15T12:55:37.959351,
certified,Multi Functional Stainless Steel Kitchen Sink with Smart Rain BasinCertified,https://yuliangshun.en.made-in-china.com/product/hnvRyWmCrjkq/China-Multi-Functional-Stainless-Steel-Kitchen-Sink-with-Smart-Rain-Basin-Certified.html?ads_tp=&ads_id=xsQfwPXVhliH,,LS-7545,60.0,USD,100.0,,"Multi Functional Stainless Steel Kitchen Sink with Smart Rain BasinCertifiedUS$ 60-66/ Piece100 Pieces(MOQ)Zhongshan Liangshun Kitchen & Bath Co., Ltd.Zhongshan Liangshun Kitchen & Bath Co., Ltd.Diamond MemberAudited SupplierSecured TradingGuangdong, ChinaISO9001:2015Enjoy trading protection from Made-in-China.comView larger video & image","Zhongshan Liangshun Kitchen & Bath Co., Ltd.",https://yuliangshun.en.made-in-china.com?ads_tp=&ads_id=xsQfwPXVhliH,,,LiangShun Kitchen and bath Co.,"Foshan, China","Block D, No. 20 Xiang′an North Road, Zhongshan",,2025-08-15T12:55:45.265316,
certified,OEM/ODMCertifiedAdjustable Mobile Rolling Steel / Aluminum Layher Ringlock Scaffolding System Aluminium Scaffold for Construction,https://aluscaffold.en.made-in-china.com/product/CwUayAbTZlts/China-OEM-ODM-Certified-Adjustable-Mobile-Rolling-Steel-Aluminum-Layher-Ringlock-Scaffolding-System-Aluminium-Scaffold-for-Construction.html?ads_tp=&ads_id=qypTZOYckHlS,7610900000,Aluminum,500.0,USD,1.0,,"OEM/ODMCertifiedAdjustable Mobile Rolling Steel / Aluminum Layher Ringlock Scaffolding System Aluminium Scaffold for ConstructionUS$ 500-800/ Set1 Set(MOQ)RAPID Scaffolding (Engineering) Co., Ltd.RAPID Scaffolding (Engineering) Co., Ltd.Diamond MemberAudited SupplierJiangsu, ChinaManufacturer/Factory & Trading CompanyISO9001:2015, ISO14001, ISO45001:2018View larger video & image","RAPID Scaffolding (Engineering) Co., Ltd.",https://aluscaffold.en.made-in-china.com?ads_tp=&ads_id=qypTZOYckHlS,,,Contact NowCertified Construction Building Industrial,"Jiangsu, China","107 Xigang West Road, Xishan District, Wuxi",,2025-08-15T12:55:51.685663,
certified,90% White Goose Down Feather Natural Washed High Loft for Pillow Comforter Duvet Filling 800fp Ultra Clean RDSCertifiedBulk Wholesale MOQ 10kgs,https://ah-wonderfeather.en.made-in-china.com/product/RAxUVOcbIQrY/China-90-White-Goose-Down-Feather-Natural-Washed-High-Loft-for-Pillow-Comforter-Duvet-Filling-800fp-Ultra-Clean-RDS-Certified-Bulk-Wholesale-MOQ-10kgs.html,0505100090,JYDF001,129.0,USD,,,"Oeko-Tex standard 100 certifiedvalid since 2024-12-11(contact issuer for current status)90% White Goose Down Feather Natural Washed High Loft for Pillow Comforter Duvet Filling 800fp Ultra Clean RDSCertifiedBulk Wholesale MOQ 10kgsUS$ 129-159/ kg10 kg(MOQ)Anhui Wonder Down&Feather Product Co., Ltd.Anhui Wonder Down&Feather Product Co., Ltd.Diamond MemberAudited SupplierSecured TradingAnhui, ChinaTrading CompanyEnjoy trading protection from Made-in-China.comView larger video & image","Anhui Wonder Down&Feather Product Co., Ltd.",https://ah-wonderfeather.en.made-in-china.com,,,Trading Company,"Anhui, China","Liuan, Anhui, China",,2025-08-15T12:55:56.344157,
