keyword,title,listing_url,item_number,sku,price,currency,min_order_quantity,max_order_quantity,description,seller_name,seller_profile_url,seller_rating,seller_total_reviews,seller_business_name,seller_country,seller_address,seller_email,scraped_at,last_updated
electronic safe,Safety Deposit BoxElectronicFireproofSafeBox Steel BankSafe,https://womafurniture.en.made-in-china.com/product/iaXrzSwlgQhf/China-Safety-Deposit-Box-Electronic-Fireproof-Safe-Box-Steel-Bank-Safe.html,8303000000,W-FS60,75.2,USD,5,,"Safety Deposit BoxElectronicFireproofSafeBox Steel BankSafeUS$ 75.2-88/ Piece5 Pieces(MOQ)Luoyang Woma Trading Co., Ltd.Luoyang Woma Trading Co., Ltd.Diamond MemberAudited SupplierSecured TradingHenan, ChinaManufacturer/FactoryEnjoy trading protection from Made-in-China.comView larger video & image","Luoyang Woma Trading Co., Ltd.",https://womafurniture.en.made-in-china.com,,,Woma main products inc,in China,"1702, block 186b, Quanshun",,2025-08-12T21:50:18.949945,
electronic safe,MiniElectronicHomeSafeBox for Furniture in Wall Office Digital Big RoomSafeLocker Laptop Security Small SecretSafesBox Hidden Design with Digital Lock,https://nbunisec.en.made-in-china.com/product/bmxYtUdosPkI/China-Mini-Electronic-Home-Safe-Box-for-Furniture-in-Wall-Office-Digital-Big-Room-Safe-Locker-Laptop-Security-Small-Secret-Safes-Box-Hidden-Design-with-Digital-Lock.html,8303000000,USE-250LCD,23.4,USD,2,,"MiniElectronicHomeSafeBox for Furniture in Wall Office Digital Big RoomSafeLocker Laptop Security Small SecretSafesBox Hidden Design with Digital LockUS$ 23.4-35/ Piece2 Pieces(MOQ)Uni-Sec (Ningbo) Electronics Technology Co., Ltd.Uni-Sec (Ningbo) Electronics Technology Co., Ltd.Diamond MemberAudited SupplierSecured TradingZhejiang, ChinaEnjoy trading protection from Made-in-China.comView larger video & image5(5.0)""Amazing Service""Amazing Service","Uni-Sec (Ningbo) Electronics Technology Co., Ltd.",https://nbunisec.en.made-in-china.com,5.0,5.0,Electronics Technology Co.,"Ningbo, China","11f. Lane299, Guanghua Rd., Hi-Tech Park",,2025-08-12T21:50:27.151983,
electronic safe,Safewell Wholesale Cheap High Quality Custom Digital HomeElectronicSafefor Business,https://safesworld.en.made-in-china.com/product/ETpUklnjRHct/China-Safewell-Wholesale-Cheap-High-Quality-Custom-Digital-Home-Electronic-Safe-for-Business.html,8303000000,E9301E,16.5,USD,200,,"Safewell Wholesale Cheap High Quality Custom Digital HomeElectronicSafefor BusinessUS$ 16.5-20.5/ Piece200 Pieces(MOQ)NINGBO SAFEWELL SAFES CO., LTD.NINGBO SAFEWELL SAFES CO., LTD.Diamond MemberAudited SupplierSecured TradingZhejiang, ChinaManufacturer/Factory & Trading CompanyEnjoy trading protection from Made-in-China.comView larger video & image","NINGBO SAFEWELL SAFES CO., LTD.",https://safesworld.en.made-in-china.com,,,Safewell is a leading safe group,"Zhejiang, China","No. 28 Pushun Road, Xiaogang Equipment Industrial Zone, Beilun",,2025-08-12T21:50:35.308755,
electronic safe,MiniSafeBox DigitalElectronicSecurity Keypad SmallSafeHotel Kids Password Lock MoneySafe,https://gdltfurniture.en.made-in-china.com/product/pxgYqBfPqtUO/China-Mini-Safe-Box-Digital-Electronic-Security-Keypad-Small-Safe-Hotel-Kids-Password-Lock-Money-Safe.html,8303000000,an-92,8.5,USD,10,,"CE certifiedvalid since 2021-11-02(contact issuer for current status)MiniSafeBox DigitalElectronicSecurity Keypad SmallSafeHotel Kids Password Lock MoneySafeUS$ 8.5-10/ Piece10 Pieces(MOQ)LUOYANG GREAT OFFICE FURNITURE CO., LTD.LUOYANG GREAT OFFICE FURNITURE CO., LTD.Diamond MemberAudited SupplierSecured TradingHenan, ChinaEnjoy trading protection from Made-in-China.comView larger video & image5(5.0)""Fast Dispatch""Fast Dispatch","LUOYANG GREAT OFFICE FURNITURE CO., LTD.",https://gdltfurniture.en.made-in-china.com,5.0,5.0,GDLT is an international export company with our own factory located in the Pangcun Industrial,"Luoyang, China","Room1304, 1 Unit, Xiangxieli Dingding Guangchang Building",,2025-08-12T21:50:51.486268,
electronic safe,Jewelry Money Caja Fuerte CE & RoHS Approval Office and Home Digital SecurityElectronicSafeBox,https://hongyouyi2025.en.made-in-china.com/product/bfoRnvaCvJri/China-Jewelry-Money-Caja-Fuerte-CE-RoHS-Approval-Office-and-Home-Digital-Security-Electronic-Safe-Box.html,8303000000,HYY005,15.5,USD,100,,"CE certifiedvalid since 2024-05-13(contact issuer for current status)Jewelry Money Caja Fuerte CE & RoHS Approval Office and Home Digital SecurityElectronicSafeBoxUS$ 15.5-18/ Piece100 Pieces(MOQ)Ningbo Hongyouyi E-Commerce Co., LtdNingbo Hongyouyi E-Commerce Co., LtdDiamond MemberAudited SupplierZhejiang, ChinaView larger video & image","Ningbo Hongyouyi E-Commerce Co., Ltd",https://hongyouyi2025.en.made-in-china.com,,,Commerce Co.,"Zhejiang, China","2002# Zhuoyue Building, No. 642 Xueshi Road, Yinzhou District",,2025-08-12T21:51:00.796456,
electronic safe,Factory Direct Sales Mechanical Key Lock Hidden Storage 5 Gun Long GunSafewithElectronicKeypad Cabinet SecuritySafe,https://tucensafe.en.made-in-china.com/product/QalRJFTGFuVz/China-Factory-Direct-Sales-Mechanical-Key-Lock-Hidden-Storage-5-Gun-Long-Gun-Safe-with-Electronic-Keypad-Cabinet-Security-Safe.html,8303000000,tc8,85.0,USD,50,,"Factory Direct Sales Mechanical Key Lock Hidden Storage 5 Gun Long GunSafewithElectronicKeypad Cabinet SecuritySafeUS$ 85-90/ Piece50 Pieces(MOQ)Zhejiang Tucen Security Equipment Co., Ltd.(Ningbo)Zhejiang Tucen Security Equipment Co., Ltd.(Ningbo)Diamond MemberAudited SupplierZhejiang, ChinaManufacturer/Factory & Trading CompanyView larger video & image","Zhejiang Tucen Security Equipment Co., Ltd.(Ningbo)",https://tucensafe.en.made-in-china.com,,,Factory & Trading Company,"Zhejiang, China","No. 31, Tangtounong, Baifeng Street",,2025-08-12T21:51:06.881065,
electronic safe,Safewell Hot Sell Cash SafetyElectronicSafeDeposit Box for Hotel Home Office,https://safesworld.en.made-in-china.com/product/rTfUGazVWRkp/China-Safewell-Hot-Sell-Cash-Safety-Electronic-Safe-Deposit-Box-for-Hotel-Home-Office.html,8303000000,and,,USD,200,,"Safewell Hot Sell Cash SafetyElectronicSafeDeposit Box for Hotel Home Office200 Pieces(MOQ)NINGBO SAFEWELL SAFES CO., LTD.NINGBO SAFEWELL SAFES CO., LTD.Diamond MemberAudited SupplierZhejiang, ChinaManufacturer/Factory & Trading CompanyView larger video & image","NINGBO SAFEWELL SAFES CO., LTD.",https://safesworld.en.made-in-china.com,,,Safewell is a leading safe group,"Zhejiang, China","No. 28 Pushun Road, Xiaogang Equipment Industrial Zone, Beilun",,2025-08-12T21:51:13.385249,
electronic safe,New Design Technology SecurityElectronicDigital HomeSafeBox with CE Certificate,https://gdltfurniture.en.made-in-china.com/product/MOyGUpaFgHfx/China-New-Design-Technology-Security-Electronic-Digital-Home-Safe-Box-with-CE-Certificate.html,9403100000,and,7.8,USD,10,,"CE certifiedvalid since 2021-11-02(contact issuer for current status)New Design Technology SecurityElectronicDigital HomeSafeBox with CE CertificateUS$ 7.8-9/ Piece10 Pieces(MOQ)LUOYANG GREAT OFFICE FURNITURE CO., LTD.LUOYANG GREAT OFFICE FURNITURE CO., LTD.Diamond MemberAudited SupplierSecured TradingHenan, ChinaEnjoy trading protection from Made-in-China.comView larger video & image5(5.0)""Fast Delivery""Fast Delivery","LUOYANG GREAT OFFICE FURNITURE CO., LTD.",https://gdltfurniture.en.made-in-china.com,5.0,5.0,GDLT is an international export company with our own factory located in the Pangcun Industrial,"Luoyang, China","Room1304, 1 Unit, Xiangxieli Dingding Guangchang Building",,2025-08-12T21:51:30.492867,
electronic safe,SimpleElectronicFingerprint GunSafeCabinet with Ammo Box,https://bolice.en.made-in-china.com/product/fAurgaOcXjhF/China-Simple-Electronic-Fingerprint-Gun-Safe-Cabinet-with-Ammo-Box.html,8303000000,SG35F,97.0,USD,100,,"SimpleElectronicFingerprint GunSafeCabinet with Ammo BoxUS$ 97/ Piece100 Pieces(MOQ)Bolice Machinery & Equipment Suzhou Co., Ltd.Bolice Machinery & Equipment Suzhou Co., Ltd.Gold MemberAudited SupplierJiangsu, ChinaTrading CompanyView larger video & image","Bolice Machinery & Equipment Suzhou Co., Ltd.",https://bolice.en.made-in-china.com,,,Focus Technology,"Jiangsu, China","Room 502, Bld3RD, Mingyu Business Plaza",,2025-08-12T21:51:35.930490,
electronic safe,Uni-Sec Authorization Tool Digital KeySafeBox Biometric Key Cabinet LockerSafeSecurityElectronicKey Storage Cabinet Outdoor From China (USCA-0200),https://nbunisec.en.made-in-china.com/product/yOjGYKqVQcWb/China-Uni-Sec-Authorization-Tool-Digital-Key-Safe-Box-Biometric-Key-Cabinet-Locker-Safe-Security-Electronic-Key-Storage-Cabinet-Outdoor-From-China-USCA-0200-.html,8303000000,USCA-0200,2600.0,USD,1,,"Uni-Sec Authorization Tool Digital KeySafeBox Biometric Key Cabinet LockerSafeSecurityElectronicKey Storage Cabinet Outdoor From China (USCA-0200)US$ 2600-8000/ Piece1 Piece(MOQ)Uni-Sec (Ningbo) Electronics Technology Co., Ltd.Uni-Sec (Ningbo) Electronics Technology Co., Ltd.Diamond MemberAudited SupplierSecured TradingZhejiang, ChinaEnjoy trading protection from Made-in-China.comView larger video & image5(5.0)""Fantastic Service""Fantastic Service","Uni-Sec (Ningbo) Electronics Technology Co., Ltd.",https://nbunisec.en.made-in-china.com,5.0,5.0,Electronics Technology Co.,"Ningbo, China","11f. Lane299, Guanghua Rd., Hi-Tech Park",,2025-08-12T21:51:44.380451,
