keyword,title,listing_url,item_number,sku,price,currency,min_order_quantity,max_order_quantity,units_available,brand,category,description,seller_name,seller_profile_url,seller_rating,seller_total_reviews,seller_email,seller_business_name,seller_country,seller_state_province,seller_zip_code,seller_phone,seller_address,scraped_at,last_updated
hair dryer,Plasma AiHairDryerhigh PerformanceHairStraightener Constant Temperature Blowing Does Not Perm The Scalp HouseholdHairDryerProfessional Handheld Blow Dry,https://baiyisen.en.made-in-china.com/product/sRBYwtnKZmkN/China-Plasma-Ai-Hair-Dryerhigh-Performance-Hair-Straightener-Constant-Temperature-Blowing-Does-Not-Perm-The-Scalp-Household-Hair-Dryer-Professional-Handheld-Blow-Dry.html,sRBYwtnKZmkN,sRBYwtnKZmkN,30.0,USD,2000,,,,,,"Shenzhen Baiyisen Health Technology Co., Ltd.",https://baiyisen.en.made-in-china.com,,,,"COMPANY PROFILECraftsmanship and Ingenuity, Leading Global Beauty and Care Trends - BYS BaiyisenIn the field of beauty, hair care appliances, and home electronics, BYS Baiyisen stands out with innovative strength and exceptional quality. We specialize in researching and producing high-speed hair dryers, multi-functional 5-in-1 hair dryers, curlers, straightening combs, hot air combs, and hair care series products. By deeply integrating technology and aesthetics, every product features a private mold design. With independent patented technologies, we create personal care appliances that balance functionality and uniqueness.Stringent quality control is our core principle. All products have passed international authoritative certifications such as CE, FCC, RoHS, and UL, and are accompanied by complete professional inspection reports. Every link, from material selection to finished product output, adheres to international high standards, providing safe and reliable user experiences for global customers.Relying on a robust manufacturing and service system, BYS Baiyisen′s products are sold in Europe, South America, North America, Japan, South Korea, Southeast Asia, the Middle East, and other regions. They widely cover global mainstream e-commerce platforms such as Amazon and AliExpress, while also establishing deep collaborations with offline channel customers to deliver high-quality products to every corner of the world.We are committed to creating diverse value for partners and offer flexible OEM and ODM cooperation models. Whether it′s customizing exclusive LOGOs based on provided designs or personalized color(color matching) and innovative craftsmanship, we can meet your needs and help brands stand out in the market.BYS Baiyisen sincerely invites global partners to join hands, (expand markets) with craftsmanship and quality, and define the future of beauty and care life through innovative designs! Looking forward to starting a new chapter of cooperation with you and achieving unlimited business opportunities together!AuthenticationMain Products:High-Speed Hair Dryer Curling Irons Styler,Multi-Function Hair Dryer Hairdryer,Secador ...Address:Shenzhen, Guangdong, ChinaMain Markets:North America, South America, Eastern Europe, Southeast Asia, Africa, Oceania, Mid East, Eastern Asia, Western EuropeInternational Commercial Terms(Incoterms):EXW, FCA, Others, FOBTerms of Payment:T/TAverage Lead Time:Peak Season Lead Time: one monthOff Season Lead Time: one monthSolutionsOEM/ODMFactory TourSample OrderContact SupplierBook a Factory Tour",Español,,,,"Guangdong, China",2025-08-12T13:04:57.721877,
hair dryer,High Quality Hot Selling Quick Drying 113000rpm Negative Ion ProfessionalHairDryer,https://dglizbella.en.made-in-china.com/product/aATrhPHDTLkU/China-High-Quality-Hot-Selling-Quick-Drying-113000rpm-Negative-Ion-Professional-Hair-Dryer.html,aATrhPHDTLkU,aATrhPHDTLkU,38.0,USD,1,,,,,,"Dongguan Zhimi Electrical Technology Co., Ltd.",https://dglizbella.en.made-in-china.com,5.0,5.0,,,,,,,"Guangdong, China",2025-08-12T13:04:59.308678,
hair dryer,ABS Materials Wall-Mounted HotelHairDryer,https://wontry.en.made-in-china.com/product/djWQeBGUZTkh/China-ABS-Materials-Wall-Mounted-Hotel-Hair-Dryer.html,djWQeBGUZTkh,djWQeBGUZTkh,11.0,USD,500,,,,,,"Wenzhou Won-Try Electric Appliance Co., Ltd.",https://wontry.en.made-in-china.com,,,,,,,,,"Zhejiang, China",2025-08-12T13:05:00.739367,
hair dryer,Salon-Grade Performance Magnetic Nozzle Attachments Intelligent Heat ControlHairDryer,https://cy-electronic.en.made-in-china.com/product/NJeUlqkokZpO/China-Salon-Grade-Performance-Magnetic-Nozzle-Attachments-Intelligent-Heat-Control-Hair-Dryer.html,NJeUlqkokZpO,NJeUlqkokZpO,36.0,USD,1,,,,,,"Chaozhou Chengying Technology Co., Ltd",https://cy-electronic.en.made-in-china.com,4.6,4.0,,"COMPANY PROFILEChaozhou Chengying Technology Co., Ltd. is an innovative technology enterprise integrating procurement, sales and services, specializing in full lifecycle management of mobile intelligent terminals and peripheral products. With refurbished smartphones as our core business, we also deal in brand-new mobile phones, smart earphones, power banks and other 3C digital products, committed to building a trinity ecosystem platform combining ""quality + service + value"".We have established a rigorous quality control system where all pre-owned devices undergo professional testing, grading certification and deep cleaning to ensure product performance and safety. Meanwhile, the company has built a comprehensive after-sales guarantee system, offering considerate services providing consumers with the same shopping assurance as new devices.Adhering to the philosophy of ""Technology Makes Life More Affordable"", Chengying Technology delivers cost-effective digital product options through professional refurbishment techniques, transparent pricing mechanisms and efficient supply chain management. Moving forward, we will continue to deepen industrial chain integration and expand service scenarios, striving to become the most trusted smart device service provider for consumers.AuthenticationMain Products:Phone,Smart Watch,EarphoneAddress:No. 17, Building C, Chaoshan Commercial Plaza, Hutou City, Anbu Town, Chao′an District, Chaozhou CityMain Markets:Africa, Eastern Europe, South America, Southeast AsiaInternational Commercial Terms(Incoterms):FOB, EXW, CFR, CIFTerms of Payment:LC, T/T, D/P, PayPal, Western Union, Small-amount paymentAverage Lead Time:Peak Season Lead Time: within 15 workdaysOff Season Lead Time: within 15 workdaysSolutionsOEM/ODMFactory TourSample OrderContact SupplierBook a Factory Tour",,,,,"Guangdong, China",2025-08-12T13:05:02.269041,
hair dryer,Bidisco Custom Private Label Ionic Negative Ion AnionHairDryersHigh Quality Professional BlowHairDryer,https://bidisco.en.made-in-china.com/product/DatrAHOoITWQ/China-Bidisco-Custom-Private-Label-Ionic-Negative-Ion-Anion-Hair-Dryers-High-Quality-Professional-Blow-Hair-Dryer.html,DatrAHOoITWQ,DatrAHOoITWQ,11.96,USD,500,,,,,,"Dongguan Bidisco Electric CO., LTD",https://bidisco.en.made-in-china.com,5.0,5.0,,"COMPANY PROFILEDongguan Bidisco Electric Co., Limited1. Founded: 20052. Product Category: Hair straightener, hair curler, electric brush, hair dryer.3. Location: No. 297, Jiangnan Road, Qishi Town, Dongguan, 523517 Guangdong, China4. Type: Manufacture5. Certified: ISO9001 amfori BSCI6. Total Factory Size (square meters): 21, 6897. Total construction area of the factory: 18, 0288. Total production area: 13, 6609. Total number of employees: 45410. Production line: 1211. Annual turnover: 30M US$12. Monthly output: 220, 000PCS/month13. The maximum capacity can achieve per month: 80, 0000/monthDongguan Bidisco Electric Co., Ltd was founded in 2005, which is located in Dongguan East industrial Park, the company covers an area of more than 20000 square meters, it has built an independent garden-style industrial park with modern office building research and development building, research and development building, manufacturing building, apartment dormitory, building and a beautiful and comfortable working and living environment.The company is a high-tech enterprise in the hair and beauty industry that integrates research & development, manufacturing and marketing, the company has won the titles of ""high-tech enterprise"", specialising in ultra new Enterprise"" and innovative enterprise"" in Guangdong Province; It has passed the ISO9001 Quality management system certification and BSCI social responsibility system; It has passed ITS, BV TUV, SGS, cETLus, PSE, SAA, GCC, BS CB, KC, CE, GS, BSMI, CCC and other certifications; It has obtained a number of international and domestic invention patents, utility patents and design patents.The company has a strong R&D team, a fully functional and advanced testing center, an advanced automated production line. Our annual capacity is 8-10 million pieces, the products are exported to United States, Europe, Japan and South Korea, Australia, Southeast Asia and other regions, We provide OEM and ODM services for many first well know international brands.The company has been adhering to the create value and common prosperity corporate philosophy. Create an international famous brand, build hundreds years of enterprise corporate vision, integrity, profession, innovation win-win, corporate core values, we keep exploring, keep progressing, keep innovating. We are dedicated to creating greater value and providing better services for new and old customers, Let us join hands work hard, cooperate sincerely to create a better future together.AuthenticationBusiness Type:Manufacturer/Factory & Trading CompanyMain Products:Hair Straightener,Hair CurlerYear of Establishment:2008-11-20Number of Employees:204Address:NO.297 JIANGNAN ROAD, QISHI TOWN, DONGGUAN CITY, GUANGDONG PROVINCESolutionsOEM/ODMFactory TourSample OrderContact SupplierBook a Factory Tour",Español,,,,"Guangdong, China",2025-08-12T13:05:03.926057,
hair dryer,110-240V Portable TravelHairDryerOEM Home FoldableHairDryer,https://fiyele.en.made-in-china.com/product/dGcYQepjAwkI/China-110-240V-Portable-Travel-Hair-Dryer-OEM-Home-Foldable-Hair-Dryer.html,dGcYQepjAwkI,dGcYQepjAwkI,3.0,USD,3000,,,,,,"Yueqing Fiy Electric Co., Ltd.",https://fiyele.en.made-in-china.com,5.0,5.0,,,,,,,"Zhejiang, China",2025-08-12T13:05:05.819097,
hair dryer,"Negative Ionic BlowDryerwith 110, 000 RpmHairDryer",https://mktslkt-a.en.made-in-china.com/product/sGqRTHVunCkK/China-Negative-Ionic-Blow-Dryer-with-110-000-Rpm-Hair-Dryer.html,sGqRTHVunCkK,sGqRTHVunCkK,6.0,USD,1000,,,,,,"Market Union Co., Ltd.",https://mktslkt-a.en.made-in-china.com,5.0,5.0,,"COMPANY PROFILEMU Group, formerly known as Market Union Co., Ltd., was foundedat the end of 2003. Currently, MU Group consists of over 60 business divisions and subsidiaries engaged in export trade and cross-border e-commerce. It launches6 majoroperationcenters in Ningbo, Yiwu, Shanghai (Yangpu District, HongqiaoCBD), Hangzhou (Xihu District, Binjiang District), Shenzhen (Longgang District, Futian District), and Chengdu. Our regional strategy is to become theNo. 1 in the region. MU group has9 domestic branch offices in Ningbo(Jiangbei District, Southern Business District), Cixi, Qingdao, Nanjing, Quanzhou, Jinjiang, Shantou, and Guangzhou. Additionally, we have4 factories in Ningbo, Yiwu, and Vietnam. Furthermore, thegroup has purchasing and sales branchoffices in Hanoi, Ho Chi Minh City, Jakarta, Manila, Istanbul, Mumbai, Paris, London, Moscow, Mexico City, Panama, and other areas. We refer to this as our ""buying and selling dual-line business"". MU Group aims to become the first Chinese full-category supply chain management company to go global, providing global customers with Chinese products and services of extreme costperformance!At present, MU Group has developed into one of the group companies with the largest self-operated export scale and the largest number of employees in Zhejiang Province. It is expected that the total export volume will reach 1.5 billion US dollars by 2023, with an estimated year-end staff of 3, 200. The total officeareaand storage area will exceed 250, 000 square meters. Helping Western customers with purchasing management and design in Asia has always been the group′s main business. Our customers include leading global retailers, world-renowned brand customers, and FortuneGlobal500 companies. We also provide fragmented and flexible procurement services for some overseas small and medium-sized retailers, brands and importers, overseas e-commerce companies, social mediaKOLs, and livestreamers onTik Tok. For the past 20 years, the group has maintained good cooperative relationships with 10, 000+ overseas customers from over 200 countries and regions worldwide, providing them with a range of value-added services of extreme costperformance, including digital transformation, market research, data analysis, product development and design, procurement services and management, packaging design, product testing and quality control, international logistics coordination, procurement agency financing, and after-sales support.AuthenticationBusiness Type:Trading CompanyMain Products:Electric Kettle,Massager,Hair Dryer,Heater,Electric Grill,Humidifier,Hair ...Year of Establishment:2003-11-14Number of Employees:398Address:12F, Building B10 (East Village), No. 2560, Yongjiang Avenue, Yinzhou District, Ningbo, Zhejiang, China. 315048SolutionsOEM/ODMFactory TourSample OrderContact SupplierBook a Factory Tour",Español,,,,"Zhejiang, China",2025-08-12T13:05:07.666571,
hair dryer,China Manufacturers Professional Salon 2000W Negative Ionic BLDCHairDryerBrushless High Speed FoldableHairBlowDryer,https://huipuhairdryer.en.made-in-china.com/product/VtPrCQzoYlkh/China-China-Manufacturers-Professional-Salon-2000W-Negative-Ionic-BLDC-Hair-Dryer-Brushless-High-Speed-Foldable-Hair-Blow-Dryer.html,VtPrCQzoYlkh,VtPrCQzoYlkh,36.0,USD,500,,,,,,"Wenzhou Huipu Electrical Appliance Co., Ltd.",https://huipuhairdryer.en.made-in-china.com,5.0,5.0,,"COMPANY PROFILEWenzhou Huipu Electric Co...Ltd. was established in 2001. Is aprofessional engaged in hair dryer, hair dryer hair curler, Hair straightener, hand dryer beauty mirror and other products of the R & D, sales and service enterprises. We are located in Wenzhou with convenient transportation. Our experienced staffis committed to strict quality control and attentive customerservice and is always available to discuss your requirements toensure complete customer satisfaction. In addition, we not onlyget lSO 9001 and C C C, in the vast overseas market. Ourproducts are also passed by C E, C B, U K C, G S, our products are exported tocustomers in France and other countries and regions, Spain, Saudi Arabia, South Africa, Singapore and Europe, the MiddleEast, South Asia, South America and Africa. Meanwhile, we do the OEM and ODM products for many famous companies, such as VAMA, TONY, AMSTRAD, MOULINEX, UKI and HOTELIER. We have built a long-term and fruitful cooperation with them.Our company has more than 20 years of production and sales experience, product quality first, the price has an absolute advantage, welcome partners around the world, we will be happy to provide you with the best quality service and the greatest support!AuthenticationMain Products:Hair Dryer,Ionic Hair Dryer,Infrared Hair Dryer,Wall Mounted Hair Dryer,Brushless Hair ...Address:Wenzhou, Zhejiang, ChinaSolutionsOEM/ODMFactory TourSample OrderContact SupplierBook a Factory Tour",Español,,,,"Zhejiang, China",2025-08-12T13:05:09.502525,
hair dryer,High Speed 110000rpm BrushlessHairDryerFast Hairdryer 20 Million Negative IonicHairDryerhair BlowDryerHigh Speed IonicHairDryerfor Professional Salon,https://baiyisen.en.made-in-china.com/product/hnBRxQLHVdUu/China-High-Speed-110000rpm-Brushless-Hair-Dryer-Fast-Hairdryer-20-Million-Negative-Ionic-Hair-Dryerhair-Blow-Dryer-High-Speed-Ionic-Hair-Dryer-for-Professional-Salon.html,hnBRxQLHVdUu,hnBRxQLHVdUu,31.0,USD,500,,,,,,"Shenzhen Baiyisen Health Technology Co., Ltd.",https://baiyisen.en.made-in-china.com,,,,"COMPANY PROFILECraftsmanship and Ingenuity, Leading Global Beauty and Care Trends - BYS BaiyisenIn the field of beauty, hair care appliances, and home electronics, BYS Baiyisen stands out with innovative strength and exceptional quality. We specialize in researching and producing high-speed hair dryers, multi-functional 5-in-1 hair dryers, curlers, straightening combs, hot air combs, and hair care series products. By deeply integrating technology and aesthetics, every product features a private mold design. With independent patented technologies, we create personal care appliances that balance functionality and uniqueness.Stringent quality control is our core principle. All products have passed international authoritative certifications such as CE, FCC, RoHS, and UL, and are accompanied by complete professional inspection reports. Every link, from material selection to finished product output, adheres to international high standards, providing safe and reliable user experiences for global customers.Relying on a robust manufacturing and service system, BYS Baiyisen′s products are sold in Europe, South America, North America, Japan, South Korea, Southeast Asia, the Middle East, and other regions. They widely cover global mainstream e-commerce platforms such as Amazon and AliExpress, while also establishing deep collaborations with offline channel customers to deliver high-quality products to every corner of the world.We are committed to creating diverse value for partners and offer flexible OEM and ODM cooperation models. Whether it′s customizing exclusive LOGOs based on provided designs or personalized color(color matching) and innovative craftsmanship, we can meet your needs and help brands stand out in the market.BYS Baiyisen sincerely invites global partners to join hands, (expand markets) with craftsmanship and quality, and define the future of beauty and care life through innovative designs! Looking forward to starting a new chapter of cooperation with you and achieving unlimited business opportunities together!AuthenticationMain Products:High-Speed Hair Dryer Curling Irons Styler,Multi-Function Hair Dryer Hairdryer,Secador ...Address:Shenzhen, Guangdong, ChinaMain Markets:North America, South America, Eastern Europe, Southeast Asia, Africa, Oceania, Mid East, Eastern Asia, Western EuropeInternational Commercial Terms(Incoterms):EXW, FCA, Others, FOBTerms of Payment:T/TAverage Lead Time:Peak Season Lead Time: one monthOff Season Lead Time: one monthSolutionsOEM/ODMFactory TourSample OrderContact SupplierBook a Factory Tour",Español,,,,"Guangdong, China",2025-08-12T13:05:10.659459,
hair dryer,Koofex Ionic 110000rpm BLDCHairDryerHigh Speed Brushless Motor BlowDryer,https://koofex.en.made-in-china.com/product/fAPUcXzxYoWd/China-Koofex-Ionic-110000rpm-BLDC-Hair-Dryer-High-Speed-Brushless-Motor-Blow-Dryer.html?ads_tp=&ads_id=vyBTXLqckPle,fAPUcXzxYoWd,fAPUcXzxYoWd,9.8,USD,1000,,,,,,"Guangzhou KooFex Appliances Co., Ltd.",https://koofex.en.made-in-china.com?ads_tp=&ads_id=vyBTXLqckPle,5.0,5.0,,,,,,,"Guangdong, China",2025-08-12T13:05:12.408131,
