keyword,title,listing_url,item_number,sku,price,currency,min_order_quantity,max_order_quantity,description,seller_name,seller_profile_url,seller_rating,seller_total_reviews,seller_business_name,seller_country,seller_address,scraped_at,last_updated
hair dryer,Plasma AiHairDryerhigh PerformanceHairStraightener Constant Temperature Blowing Does Not Perm The Scalp HouseholdHairDryerProfessional Handheld Blow Dry,https://baiyisen.en.made-in-china.com/product/sRBYwtnKZmkN/China-Plasma-Ai-Hair-Dryerhigh-Performance-Hair-Straightener-Constant-Temperature-Blowing-Does-Not-Perm-The-Scalp-Household-Hair-Dryer-Professional-Handheld-Blow-Dry.html,sRBYwtnKZmkN,sRBYwtnKZmkN,30.0,USD,2000,,"Plasma AiHairDryerhigh PerformanceHairStraightener Constant Temperature Blowing Does Not Perm The Scalp HouseholdHairDryerProfessional Handheld Blow DryUS$ 30-39/ Piece2000 Pieces(MOQ)Shenzhen Baiyisen Health Technology Co., Ltd.Shenzhen Baiyisen Health Technology Co., Ltd.Diamond MemberAudited SupplierGuangdong, ChinaView larger video & image","Shenzhen Baiyisen Health Technology Co., Ltd.",https://baiyisen.en.made-in-china.com,,,,,,2025-08-12T13:47:24.247843,
hair dryer,China Manufacturers Professional Salon 2000W Negative Ionic BLDCHairDryerBrushless High Speed FoldableHairBlowDryer,https://huipuhairdryer.en.made-in-china.com/product/VtPrCQzoYlkh/China-China-Manufacturers-Professional-Salon-2000W-Negative-Ionic-BLDC-Hair-Dryer-Brushless-High-Speed-Foldable-Hair-Blow-Dryer.html,VtPrCQzoYlkh,VtPrCQzoYlkh,36.0,USD,500,,"China Manufacturers Professional Salon 2000W Negative Ionic BLDCHairDryerBrushless High Speed FoldableHairBlowDryerUS$ 36-37.5/ pieces500 pieces(MOQ)Wenzhou Huipu Electrical Appliance Co., Ltd.Wenzhou Huipu Electrical Appliance Co., Ltd.Diamond MemberAudited SupplierZhejiang, ChinaView larger video & image5(5.0)""Fast Dispatch""Fast Dispatch","Wenzhou Huipu Electrical Appliance Co., Ltd.",https://huipuhairdryer.en.made-in-china.com,5.0,5.0,,,,2025-08-12T13:47:25.902625,
hair dryer,Bidisco Custom Private Label Ionic Negative Ion AnionHairDryersHigh Quality Professional BlowHairDryer,https://bidisco.en.made-in-china.com/product/DatrAHOoITWQ/China-Bidisco-Custom-Private-Label-Ionic-Negative-Ion-Anion-Hair-Dryers-High-Quality-Professional-Blow-Hair-Dryer.html,DatrAHOoITWQ,DatrAHOoITWQ,11.96,USD,500,,"Bidisco Custom Private Label Ionic Negative Ion AnionHairDryersHigh Quality Professional BlowHairDryerUS$ 11.96-12.32/ Piece500 Pieces(MOQ)Dongguan Bidisco Electric CO., LTDDongguan Bidisco Electric CO., LTDDiamond MemberAudited SupplierGuangdong, ChinaManufacturer/Factory & Trading CompanyView larger video & image5(5.0)""On-time Delivery""On-time Delivery","Dongguan Bidisco Electric CO., LTD",https://bidisco.en.made-in-china.com,5.0,5.0,,,,2025-08-12T13:47:27.596626,
hair dryer,Intelligent Heat Control 3 Speed Settings & Negative Ion Technology 1600W MotorHairDryer,https://cy-electronic.en.made-in-china.com/product/WQORMzPGhdYh/China-Intelligent-Heat-Control-3-Speed-Settings-Negative-Ion-Technology-1600W-Motor-Hair-Dryer.html,WQORMzPGhdYh,WQORMzPGhdYh,36.0,USD,1,,"Intelligent Heat Control 3 Speed Settings & Negative Ion Technology 1600W MotorHairDryerUS$ 36-42/ Piece1 Piece(MOQ)Chaozhou Chengying Technology Co., LtdChaozhou Chengying Technology Co., LtdDiamond MemberAudited SupplierGuangdong, ChinaView larger video & image5(4.6)""Fast Dispatch""Fast Dispatch","Chaozhou Chengying Technology Co., Ltd",https://cy-electronic.en.made-in-china.com,4.6,4.0,,,,2025-08-12T13:47:29.479151,
hair dryer,High Quality Hot Selling Quick Drying 113000rpm Negative Ion ProfessionalHairDryer,https://dglizbella.en.made-in-china.com/product/aATrhPHDTLkU/China-High-Quality-Hot-Selling-Quick-Drying-113000rpm-Negative-Ion-Professional-Hair-Dryer.html,aATrhPHDTLkU,aATrhPHDTLkU,38.0,USD,1,,"High Quality Hot Selling Quick Drying 113000rpm Negative Ion ProfessionalHairDryerUS$ 38-42/ Piece1 Piece(MOQ)Dongguan Zhimi Electrical Technology Co., Ltd.Dongguan Zhimi Electrical Technology Co., Ltd.Diamond MemberAudited SupplierGuangdong, ChinaManufacturer/Factory & Trading CompanyView larger video & image5(5.0)""Premium Supplier""Premium Supplier","Dongguan Zhimi Electrical Technology Co., Ltd.",https://dglizbella.en.made-in-china.com,5.0,5.0,,,,2025-08-12T13:47:31.367039,
hair dryer,"Negative Ionic BlowDryerwith 110, 000 RpmHairDryer",https://mktslkt-a.en.made-in-china.com/product/sGqRTHVunCkK/China-Negative-Ionic-Blow-Dryer-with-110-000-Rpm-Hair-Dryer.html,sGqRTHVunCkK,sGqRTHVunCkK,6.0,USD,1000,,"Negative Ionic BlowDryerwith 110, 000 RpmHairDryerUS$ 6-6.7/ Piece1000 Pieces(MOQ)Market Union Co., Ltd.Market Union Co., Ltd.Diamond MemberAudited SupplierZhejiang, ChinaTrading CompanyView larger video & image5(5.0)""Fast Dispatch""Fast Dispatch","Market Union Co., Ltd.",https://mktslkt-a.en.made-in-china.com,5.0,5.0,,,,2025-08-12T13:47:33.217071,
hair dryer,ABS Materials Wall-Mounted HotelHairDryer,https://wontry.en.made-in-china.com/product/djWQeBGUZTkh/China-ABS-Materials-Wall-Mounted-Hotel-Hair-Dryer.html,djWQeBGUZTkh,djWQeBGUZTkh,11.0,USD,500,,"ABS Materials Wall-Mounted HotelHairDryerUS$ 11-13/ Piece500 Pieces(MOQ)Wenzhou Won-Try Electric Appliance Co., Ltd.Wenzhou Won-Try Electric Appliance Co., Ltd.Gold MemberAudited SupplierZhejiang, ChinaManufacturer/FactoryView larger video & image","Wenzhou Won-Try Electric Appliance Co., Ltd.",https://wontry.en.made-in-china.com,,,,,,2025-08-12T13:47:34.984298,
hair dryer,1800-2200W AC Professional SalonHairDryerwith Cold Air Function,https://fiyele.en.made-in-china.com/product/GfNrmweVhykn/China-1800-2200W-AC-Professional-Salon-Hair-Dryer-with-Cold-Air-Function.html,GfNrmweVhykn,GfNrmweVhykn,6.79,USD,2000,,"1800-2200W AC Professional SalonHairDryerwith Cold Air FunctionUS$ 6.79-7.08/ Piece2000 Pieces(MOQ)Yueqing Fiy Electric Co., Ltd.Yueqing Fiy Electric Co., Ltd.Diamond MemberAudited SupplierZhejiang, ChinaManufacturer/Factory & Trading CompanyView larger video & image5(5.0)""On-time Delivery""On-time Delivery","Yueqing Fiy Electric Co., Ltd.",https://fiyele.en.made-in-china.com,5.0,5.0,,,,2025-08-12T13:47:37.333737,
hair dryer,High Speed 110000rpm BrushlessHairDryerFast Hairdryer 20 Million Negative IonicHairDryerhair BlowDryerHigh Speed IonicHairDryerfor Professional Salon,https://baiyisen.en.made-in-china.com/product/hnBRxQLHVdUu/China-High-Speed-110000rpm-Brushless-Hair-Dryer-Fast-Hairdryer-20-Million-Negative-Ionic-Hair-Dryerhair-Blow-Dryer-High-Speed-Ionic-Hair-Dryer-for-Professional-Salon.html,hnBRxQLHVdUu,hnBRxQLHVdUu,31.0,USD,500,,"CE certifiedvalid since 2024-10-24(contact issuer for current status)High Speed 110000rpm BrushlessHairDryerFast Hairdryer 20 Million Negative IonicHairDryerhair BlowDryerHigh Speed IonicHairDryerfor Professional SalonUS$ 31-39/ Piece500 Pieces(MOQ)Shenzhen Baiyisen Health Technology Co., Ltd.Shenzhen Baiyisen Health Technology Co., Ltd.Diamond MemberAudited SupplierSecured TradingGuangdong, ChinaEnjoy trading protection from Made-in-China.comView larger video & image","Shenzhen Baiyisen Health Technology Co., Ltd.",https://baiyisen.en.made-in-china.com,,,,,,2025-08-12T13:47:38.519161,
hair dryer,Koofex Ionic 110000rpm BLDCHairDryerHigh Speed Brushless Motor BlowDryer,https://koofex.en.made-in-china.com/product/fAPUcXzxYoWd/China-Koofex-Ionic-110000rpm-BLDC-Hair-Dryer-High-Speed-Brushless-Motor-Blow-Dryer.html?ads_tp=&ads_id=vyBTXLqckPle,fAPUcXzxYoWd,fAPUcXzxYoWd,9.8,USD,1000,,"Koofex Ionic 110000rpm BLDCHairDryerHigh Speed Brushless Motor BlowDryerUS$ 9.8-11/ Piece1000 Pieces(MOQ)Guangzhou KooFex Appliances Co., Ltd.Guangzhou KooFex Appliances Co., Ltd.Diamond MemberAudited SupplierSecured TradingGuangdong, ChinaEnjoy trading protection from Made-in-China.comView larger video & image5(5.0)""Fast Delivery""Fast Delivery","Guangzhou KooFex Appliances Co., Ltd.",https://koofex.en.made-in-china.com?ads_tp=&ads_id=vyBTXLqckPle,5.0,5.0,,,,2025-08-12T13:47:40.632901,
hair dryer,2024 Hot Selling Ionic Professional Salon LED Display ScreenHairBlowerDryerBLDC 2000W High Power 3 in 1 One StepHairDryer,https://huipuhairdryer.en.made-in-china.com/product/qAFrWZdlfLVJ/China-2024-Hot-Selling-Ionic-Professional-Salon-LED-Display-Screen-Hair-Blower-Dryer-BLDC-2000W-High-Power-3-in-1-One-Step-Hair-Dryer.html,qAFrWZdlfLVJ,qAFrWZdlfLVJ,37.0,USD,500,,"2024 Hot Selling Ionic Professional Salon LED Display ScreenHairBlowerDryerBLDC 2000W High Power 3 in 1 One StepHairDryerUS$ 37-38.5/ pieces500 pieces(MOQ)Wenzhou Huipu Electrical Appliance Co., Ltd.Wenzhou Huipu Electrical Appliance Co., Ltd.Diamond MemberAudited SupplierSecured TradingZhejiang, ChinaEnjoy trading protection from Made-in-China.comView larger video & image5(5.0)""On-time Delivery""On-time Delivery","Wenzhou Huipu Electrical Appliance Co., Ltd.",https://huipuhairdryer.en.made-in-china.com,5.0,5.0,,,,2025-08-12T13:47:41.667995,
hair dryer,High Speed 110000 Rpm Brushless Negative IonHairDryer,https://bidisco.en.made-in-china.com/product/YxVrUdDObecp/China-High-Speed-110000-Rpm-Brushless-Negative-Ion-Hair-Dryer.html,YxVrUdDObecp,YxVrUdDObecp,29.3,USD,500,,"High Speed 110000 Rpm Brushless Negative IonHairDryerUS$ 29.3-35/ Piece500 Pieces(MOQ)Dongguan Bidisco Electric CO., LTDDongguan Bidisco Electric CO., LTDDiamond MemberAudited SupplierSecured TradingGuangdong, ChinaManufacturer/Factory & Trading CompanyEnjoy trading protection from Made-in-China.comView larger video & image5(5.0)""Fast Dispatch""Fast Dispatch","Dongguan Bidisco Electric CO., LTD",https://bidisco.en.made-in-china.com,5.0,5.0,,,,2025-08-12T13:47:42.529111,
hair dryer,Salon High Speed Professional Anion LeaflessHairDryerwith Anti-Frizz Features Warranty,https://shanghaijinglang.en.made-in-china.com/product/LGjYEkMoYIhp/China-Salon-High-Speed-Professional-Anion-Leafless-Hair-Dryer-with-Anti-Frizz-Features-Warranty.html,LGjYEkMoYIhp,LGjYEkMoYIhp,15.0,USD,1000,,"Salon High Speed Professional Anion LeaflessHairDryerwith Anti-Frizz Features WarrantyUS$ 15-22/ Piece1000 Pieces(MOQ)Jinglang Electric Appliances (Shanghai) Co., Ltd.Jinglang Electric Appliances (Shanghai) Co., Ltd.Diamond MemberAudited SupplierSecured TradingShanghai, ChinaEnjoy trading protection from Made-in-China.comView larger video & image5(5.0)""Fast Dispatch""Fast Dispatch","Jinglang Electric Appliances (Shanghai) Co., Ltd.",https://shanghaijinglang.en.made-in-china.com,5.0,5.0,,,,2025-08-12T13:47:44.212795,
hair dryer,Source Factoryhigh Speed 110000rpm High Speed Best HouseholdHairPattern Blow Dryer5 In1 Hot Air Brush Comb BlowDryerBrushhair Stylerfactory New Design BLDC,https://baiyisen.en.made-in-china.com/product/LtnRcvrVIJpB/China-Source-Factoryhigh-Speed-110000rpm-High-Speed-Best-Household-Hair-Pattern-Blow-Dryer5-In1-Hot-Air-Brush-Comb-Blow-Dryer-Brushhair-Stylerfactory-New-Design-BLDC.html,LtnRcvrVIJpB,LtnRcvrVIJpB,27.8,USD,1000,,"CE certifiedvalid since 2024-10-24(contact issuer for current status)Source Factoryhigh Speed 110000rpm High Speed Best HouseholdHairPattern Blow Dryer5 In1 Hot Air Brush Comb BlowDryerBrushhair Stylerfactory New Design BLDCUS$ 27.8-29.8/ Piece1000 Pieces(MOQ)Shenzhen Baiyisen Health Technology Co., Ltd.Shenzhen Baiyisen Health Technology Co., Ltd.Diamond MemberAudited SupplierSecured TradingGuangdong, ChinaEnjoy trading protection from Made-in-China.comView larger video & image","Shenzhen Baiyisen Health Technology Co., Ltd.",https://baiyisen.en.made-in-china.com,,,,,,2025-08-12T13:47:45.447839,
hair dryer,High Speed Constant Temperature Negative IonHairDryerProfessional Hammer Electric BlowerDryer,https://huipuhairdryer.en.made-in-china.com/product/EADYOxfTBHkQ/China-High-Speed-Constant-Temperature-Negative-Ion-Hair-Dryer-Professional-Hammer-Electric-Blower-Dryer.html,EADYOxfTBHkQ,EADYOxfTBHkQ,21.9,USD,50,,"High Speed Constant Temperature Negative IonHairDryerProfessional Hammer Electric BlowerDryerUS$ 21.9-25/ Piece50 Pieces(MOQ)Wenzhou Huipu Electrical Appliance Co., Ltd.Wenzhou Huipu Electrical Appliance Co., Ltd.Diamond MemberAudited SupplierSecured TradingZhejiang, ChinaEnjoy trading protection from Made-in-China.comView larger video & image5(5.0)""Fast Delivery""Fast Delivery","Wenzhou Huipu Electrical Appliance Co., Ltd.",https://huipuhairdryer.en.made-in-china.com,5.0,5.0,,,,2025-08-12T13:47:46.464962,
hair dryer,High Quality Professional Drayer DC MotorHairBlowDryer2000W Drayer BlowDryers,https://reputable-trading.en.made-in-china.com/product/MTRrptxEBukW/China-High-Quality-Professional-Drayer-DC-Motor-Hair-Blow-Dryer-2000W-Drayer-Blow-Dryers.html,MTRrptxEBukW,MTRrptxEBukW,7.86,USD,500,,"High Quality Professional Drayer DC MotorHairBlowDryer2000W Drayer BlowDryersUS$ 7.86-9.86/ Piece500 Pieces(MOQ)Yiwu Reputable Trade Co., Ltd.Yiwu Reputable Trade Co., Ltd.Diamond MemberZhejiang, ChinaTrading CompanyView larger video & image","Yiwu Reputable Trade Co., Ltd.",https://reputable-trading.en.made-in-china.com,,,,,,2025-08-12T13:47:48.363570,
