keyword,title,listing_url,item_number,sku,price,currency,min_order_quantity,max_order_quantity,description,seller_name,seller_profile_url,seller_rating,seller_total_reviews,seller_business_name,seller_country,seller_address,seller_email,scraped_at,last_updated
hair dryer,"Negative Ionic BlowDryerwith 110, 000 RpmHairDryer",https://mktslkt-a.en.made-in-china.com/product/sGqRTHVunCkK/China-Negative-Ionic-Blow-Dryer-with-110-000-Rpm-Hair-Dryer.html,9615900000,JD023,6.0,USD,1000,,"Negative Ionic BlowDryerwith 110, 000 RpmHairDryerUS$ 6-6.7/ Piece1000 Pieces(MOQ)Market Union Co., Ltd.Market Union Co., Ltd.Diamond MemberAudited SupplierZhejiang, ChinaTrading CompanyView larger video & image5(5.0)""Fast Dispatch""Fast Dispatch","Market Union Co., Ltd.",https://mktslkt-a.en.made-in-china.com,5.0,5.0,MU Group,"Zhejiang, China","12F, Building B10 (East Village), No. 2560",,2025-08-12T22:06:06.462851,
hair dryer,China Manufacturers Professional Salon 2000W Negative Ionic BLDCHairDryerBrushless High Speed FoldableHairBlowDryer,https://huipuhairdryer.en.made-in-china.com/product/VtPrCQzoYlkh/China-China-Manufacturers-Professional-Salon-2000W-Negative-Ionic-BLDC-Hair-Dryer-Brushless-High-Speed-Foldable-Hair-Blow-Dryer.html,8516310000,SG-02,36.0,USD,500,,"China Manufacturers Professional Salon 2000W Negative Ionic BLDCHairDryerBrushless High Speed FoldableHairBlowDryerUS$ 36-37.5/ pieces500 pieces(MOQ)Wenzhou Huipu Electrical Appliance Co., Ltd.Wenzhou Huipu Electrical Appliance Co., Ltd.Diamond MemberAudited SupplierZhejiang, ChinaView larger video & image5(5.0)""Fast Delivery""Fast Delivery","Wenzhou Huipu Electrical Appliance Co., Ltd.",https://huipuhairdryer.en.made-in-china.com,5.0,5.0,Wenzhou Huipu Electric Co.,"Zhejiang, China","Wenzhou, Zhejiang, China",,2025-08-12T22:06:10.830450,
hair dryer,ABS Materials Wall-Mounted HotelHairDryer,https://wontry.en.made-in-china.com/product/djWQeBGUZTkh/China-ABS-Materials-Wall-Mounted-Hotel-Hair-Dryer.html,8516310000,WT-8200,11.0,USD,500,,"ABS Materials Wall-Mounted HotelHairDryerUS$ 11-13/ Piece500 Pieces(MOQ)Wenzhou Won-Try Electric Appliance Co., Ltd.Wenzhou Won-Try Electric Appliance Co., Ltd.Gold MemberAudited SupplierZhejiang, ChinaManufacturer/FactoryView larger video & image","Wenzhou Won-Try Electric Appliance Co., Ltd.",https://wontry.en.made-in-china.com,,,Try Electric Appliance Co.,"Zhejiang, China","6#Ze Chuan Road, Getian Industrial Zone, Zeya Ouhai",,2025-08-12T22:06:14.558585,
hair dryer,High Quality Hot Selling Quick Drying 113000rpm Negative Ion ProfessionalHairDryer,https://dglizbella.en.made-in-china.com/product/aATrhPHDTLkU/China-High-Quality-Hot-Selling-Quick-Drying-113000rpm-Negative-Ion-Professional-Hair-Dryer.html,,FZ-6728-4D,38.0,USD,1,,"High Quality Hot Selling Quick Drying 113000rpm Negative Ion ProfessionalHairDryerUS$ 38-42/ Piece1 Piece(MOQ)Dongguan Zhimi Electrical Technology Co., Ltd.Dongguan Zhimi Electrical Technology Co., Ltd.Diamond MemberAudited SupplierGuangdong, ChinaManufacturer/Factory & Trading CompanyView larger video & image5(5.0)""Reliable Supplier""Reliable Supplier","Dongguan Zhimi Electrical Technology Co., Ltd.",https://dglizbella.en.made-in-china.com,5.0,5.0,"Post a Sourcing Request Now 











Product Group","Guangdong, China","Room 501, Building 6, No.168 Fuli East Road",,2025-08-12T22:06:19.294694,
hair dryer,Intelligent Heat Control 3 Speed Settings & Negative Ion Technology 1600W MotorHairDryer,https://cy-electronic.en.made-in-china.com/product/WQORMzPGhdYh/China-Intelligent-Heat-Control-3-Speed-Settings-Negative-Ion-Technology-1600W-Motor-Hair-Dryer.html,,HD-2,36.0,USD,1,,"Intelligent Heat Control 3 Speed Settings & Negative Ion Technology 1600W MotorHairDryerUS$ 36-42/ Piece1 Piece(MOQ)Chaozhou Chengying Technology Co., LtdChaozhou Chengying Technology Co., LtdDiamond MemberAudited SupplierGuangdong, ChinaView larger video & image5(4.6)""Fast Delivery""Fast Delivery","Chaozhou Chengying Technology Co., Ltd",https://cy-electronic.en.made-in-china.com,4.6,4.0,Chaozhou Chengying Technology Co.,"Guangdong, China","No. 17, Building C, Chaoshan Commercial Plaza",,2025-08-12T22:06:24.879859,
hair dryer,Wall-Mounted Handheld 2in1 Brushless High-SpeedHairDryerQuick-Drying SilentHairCare Home Hotel TravelHairDryer,https://fiyele.en.made-in-china.com/product/opqrYHcdhmVI/China-Wall-Mounted-Handheld-2in1-Brushless-High-Speed-Hair-Dryer-Quick-Drying-Silent-Hair-Care-Home-Hotel-Travel-Hair-Dryer.html,,MD-H02,13.96,USD,1000,,"Wall-Mounted Handheld 2in1 Brushless High-SpeedHairDryerQuick-Drying SilentHairCare Home Hotel TravelHairDryerUS$ 13.96-14.57/ Piece1000 Pieces(MOQ)Yueqing Fiy Electric Co., Ltd.Yueqing Fiy Electric Co., Ltd.Diamond MemberAudited SupplierZhejiang, ChinaManufacturer/Factory & Trading CompanyView larger video & image5(5.0)""Fast Dispatch""Fast Dispatch","Yueqing Fiy Electric Co., Ltd.",https://fiyele.en.made-in-china.com,5.0,5.0,"Post Sourcing Request
















                                    Yueqing Fiy Electric Co.","Zhejiang, China","Building 2, Xianyangchen Industrial Zone, Hongqiao",,2025-08-12T22:06:33.937421,
hair dryer,Plasma AiHairDryerhigh PerformanceHairStraightener Constant Temperature Blowing Does Not Perm The Scalp HouseholdHairDryerProfessional Handheld Blow Dry,https://baiyisen.en.made-in-china.com/product/sRBYwtnKZmkN/China-Plasma-Ai-Hair-Dryerhigh-Performance-Hair-Straightener-Constant-Temperature-Blowing-Does-Not-Perm-The-Scalp-Household-Hair-Dryer-Professional-Handheld-Blow-Dry.html,8516310000,808,30.0,USD,2000,,"Plasma AiHairDryerhigh PerformanceHairStraightener Constant Temperature Blowing Does Not Perm The Scalp HouseholdHairDryerProfessional Handheld Blow DryUS$ 30-39/ Piece2000 Pieces(MOQ)Shenzhen Baiyisen Health Technology Co., Ltd.Shenzhen Baiyisen Health Technology Co., Ltd.Diamond MemberAudited SupplierGuangdong, ChinaView larger video & image","Shenzhen Baiyisen Health Technology Co., Ltd.",https://baiyisen.en.made-in-china.com,,,Leading Global,"Guangdong, China","Shenzhen, Guangdong, China",,2025-08-12T22:06:39.252645,
hair dryer,Bidisco Custom Private Label Ionic Negative Ion AnionHairDryersHigh Quality Professional BlowHairDryer,https://bidisco.en.made-in-china.com/product/DatrAHOoITWQ/China-Bidisco-Custom-Private-Label-Ionic-Negative-Ion-Anion-Hair-Dryers-High-Quality-Professional-Blow-Hair-Dryer.html,,F2713,11.96,USD,500,,"Bidisco Custom Private Label Ionic Negative Ion AnionHairDryersHigh Quality Professional BlowHairDryerUS$ 11.96-12.32/ Piece500 Pieces(MOQ)Dongguan Bidisco Electric CO., LTDDongguan Bidisco Electric CO., LTDDiamond MemberAudited SupplierGuangdong, ChinaManufacturer/Factory & Trading CompanyView larger video & image5(5.0)""On-time Delivery""On-time Delivery","Dongguan Bidisco Electric CO., LTD",https://bidisco.en.made-in-china.com,5.0,5.0,Dongguan Bidisco Electric Co.,"Guangdong, China","NO.297 JIANGNAN ROAD, QISHI TOWN, DONGGUAN CITY",,2025-08-12T22:06:43.076895,
hair dryer,Koofex Ionic 110000rpm BLDCHairDryerHigh Speed Brushless Motor BlowDryer,https://koofex.en.made-in-china.com/product/fAPUcXzxYoWd/China-Koofex-Ionic-110000rpm-BLDC-Hair-Dryer-High-Speed-Brushless-Motor-Blow-Dryer.html?ads_tp=&ads_id=vyBTXLqckPle,,KF-8257,9.8,USD,1000,,"Koofex Ionic 110000rpm BLDCHairDryerHigh Speed Brushless Motor BlowDryerUS$ 9.8-11/ Piece1000 Pieces(MOQ)Guangzhou KooFex Appliances Co., Ltd.Guangzhou KooFex Appliances Co., Ltd.Diamond MemberAudited SupplierSecured TradingGuangdong, ChinaEnjoy trading protection from Made-in-China.comView larger video & image5(5.0)""Fast Delivery""Fast Delivery","Guangzhou KooFex Appliances Co., Ltd.",https://koofex.en.made-in-china.com?ads_tp=&ads_id=vyBTXLqckPle,5.0,5.0,Rpm Professional Electric,"Guangdong, China","733-736 Fengrun Business Square, 318 Jinzhongheng Road, Baiyun District",,2025-08-12T22:06:47.098595,
hair dryer,High Speed 110000rpm BrushlessHairDryerFast Hairdryer 20 Million Negative IonicHairDryerhair BlowDryerHigh Speed IonicHairDryerfor Professional Salon,https://baiyisen.en.made-in-china.com/product/hnBRxQLHVdUu/China-High-Speed-110000rpm-Brushless-Hair-Dryer-Fast-Hairdryer-20-Million-Negative-Ionic-Hair-Dryerhair-Blow-Dryer-High-Speed-Ionic-Hair-Dryer-for-Professional-Salon.html,8516310000,858,31.0,USD,500,,"CE certifiedvalid since 2024-10-24(contact issuer for current status)High Speed 110000rpm BrushlessHairDryerFast Hairdryer 20 Million Negative IonicHairDryerhair BlowDryerHigh Speed IonicHairDryerfor Professional SalonUS$ 31-39/ Piece500 Pieces(MOQ)Shenzhen Baiyisen Health Technology Co., Ltd.Shenzhen Baiyisen Health Technology Co., Ltd.Diamond MemberAudited SupplierSecured TradingGuangdong, ChinaEnjoy trading protection from Made-in-China.comView larger video & image","Shenzhen Baiyisen Health Technology Co., Ltd.",https://baiyisen.en.made-in-china.com,,,Leading Global,"Guangdong, China","Shenzhen, Guangdong, China",,2025-08-12T22:06:51.093175,
