keyword,title,listing_url,item_number,sku,price,currency,min_order_quantity,max_order_quantity,description,seller_name,seller_profile_url,seller_rating,seller_total_reviews,seller_business_name,seller_country,seller_address,seller_email,scraped_at,last_updated
manufacturer,CNC Custom PartsManufacturerLow Carbon Steel High Carbon Steel Milling Turning Custom Parts,https://zwmetalpart.en.made-in-china.com/product/lwJfyDCrhStA/China-CNC-Custom-Parts-Manufacturer-Low-Carbon-Steel-High-Carbon-Steel-Milling-Turning-Custom-Parts.html?ads_tp=ppc&ads_id=VnaEMkdGOQhK,,MIC-L-ZW-250735,0.9,USD,1.0,,"CNC Custom PartsManufacturerLow Carbon Steel High Carbon Steel Milling Turning Custom PartsUS$ 0.9-4.35/ Piece1 Piece(MOQ)Dongguan Zhongwei Metal Products Co., Ltd.Dongguan Zhongwei Metal Products Co., Ltd.Diamond MemberAudited SupplierSecured TradingGuangdong, ChinaEnjoy trading protection from Made-in-China.comView larger video & image5(5.0)""Perfect Service""Perfect Service","Dongguan Zhongwei Metal Products Co., Ltd.",https://zwmetalpart.en.made-in-china.com?ads_tp=ppc&ads_id=VnaEMkdGOQhK,5.0,5.0,Dongguan Zhongwei Metal Products Co.,"Guangdong, China","Dongguan, Guangdong, China",,2025-08-15T20:25:08.498843,
manufacturer,FC300 Cast Iron Machine Tool Body Base From LargeManufacturer,https://hlmachinerygroup.en.made-in-china.com/product/gKpJGsIOXNUP/China-FC300-Cast-Iron-Machine-Tool-Body-Base-From-Large-Manufacturer.html?ads_tp=ppc&ads_id=NmYJnRxyIQkZ,7325101000,Custom,1000.0,USD,,,"FC300 Cast Iron Machine Tool Body Base From LargeManufacturerUS$ 1000-1500/ Ton1 Ton(MOQ)Qingdao Hailong Machinery Group Co., Ltd.Qingdao Hailong Machinery Group Co., Ltd.Diamond MemberAudited SupplierShandong, ChinaManufacturer/Factory & Trading CompanyOthersView larger video & image","Qingdao Hailong Machinery Group Co., Ltd.",https://hlmachinerygroup.en.made-in-china.com?ads_tp=ppc&ads_id=NmYJnRxyIQkZ,,,Qingdao Hailong Machinery Group LimitedQingdao Hailong Machinery Group Limited,"Shandong, China","No. 18, Huaquan 1st Road, Qingdao",,2025-08-15T20:25:12.462183,
manufacturer,ChinaManufacturerCast Iron Machine Bed and Frame Milling Machine Casting,https://hlmachinerygroup.en.made-in-china.com/product/mKpQMXHbZNUv/China-China-Manufacturer-Cast-Iron-Machine-Bed-and-Frame-Milling-Machine-Casting.html?ads_tp=ppc&ads_id=NmYJnRxyIQkZ,7325101000,HL-C-B14,1000.0,USD,,,"ChinaManufacturerCast Iron Machine Bed and Frame Milling Machine CastingUS$ 1000-1500/ Ton1 Ton(MOQ)Qingdao Hailong Machinery Group Co., Ltd.Qingdao Hailong Machinery Group Co., Ltd.Diamond MemberAudited SupplierShandong, ChinaManufacturer/Factory & Trading CompanyOthersView larger video & image","Qingdao Hailong Machinery Group Co., Ltd.",https://hlmachinerygroup.en.made-in-china.com?ads_tp=ppc&ads_id=NmYJnRxyIQkZ,,,Qingdao Hailong Machinery Group LimitedQingdao Hailong Machinery Group Limited,"Shandong, China","No. 18, Huaquan 1st Road, Qingdao",,2025-08-15T20:25:15.667628,
manufacturer,OriginalManufacturerCustom Made Precision 316 Stainless Steel Stator Parts,https://novamfg.en.made-in-china.com/product/QTpYhGVdHKWB/China-Original-Manufacturer-Custom-Made-Precision-316-Stainless-Steel-Stator-Parts.html?ads_tp=ppc&ads_id=dJTnLQOPmmkE,,ISO9001,0.99,USD,1.0,,"OriginalManufacturerCustom Made Precision 316 Stainless Steel Stator PartsUS$ 0.99/ Piece1 Piece(MOQ)Zhuzhou Nova Precision Manufacturing Co., LtdZhuzhou Nova Precision Manufacturing Co., LtdGold MemberAudited SupplierHunan, ChinaView larger video & image","Zhuzhou Nova Precision Manufacturing Co., Ltd",https://novamfg.en.made-in-china.com?ads_tp=ppc&ads_id=dJTnLQOPmmkE,,,,"Hunan, China","High Technology Park, Power Valley, Dongjiaduan",,2025-08-15T20:25:19.485162,
manufacturer,304 316 409 Welded Stainless Steel Pipe TubeManufacturerwith Factory Price Round Od 1 2 3 4 5 6 7 8 Inch with Ba 2b 8K Polished Surface for Exhaust System,https://south-geely.en.made-in-china.com/product/DaPYMpiUschH/China-304-316-409-Welded-Stainless-Steel-Pipe-Tube-Manufacturer-with-Factory-Price-Round-Od-1-2-3-4-5-6-7-8-Inch-with-Ba-2b-8K-Polished-Surface-for-Exhaust-System.html,,304,1280.0,USD,,,"304 316 409 Welded Stainless Steel Pipe TubeManufacturerwith Factory Price Round Od 1 2 3 4 5 6 7 8 Inch with Ba 2b 8K Polished Surface for Exhaust SystemUS$ 1280-2500/ Ton1 Ton(MOQ)Shanghai South Geely Industrial Co., Ltd.Shanghai South Geely Industrial Co., Ltd.Diamond MemberAudited SupplierShanghai, ChinaView larger video & image","Shanghai South Geely Industrial Co., Ltd.",https://south-geely.en.made-in-china.com,,,Shanghai South Geely Industrial Co.,"Shanghai, China","Lane 399, Fengzhuang Road, Jiading District",,2025-08-15T20:25:23.840387,
manufacturer,Hot Sale Bob-Lift 10 Ton Hydraulic Liftingknuckle Boom Truck Mounted Crane Mobile CraneManufacturerfor Construction,https://boblift.en.made-in-china.com/product/nsGQBVJrRUcR/China-Hot-Sale-Bob-Lift-10-Ton-Hydraulic-Liftingknuckle-Boom-Truck-Mounted-Crane-Mobile-Crane-Manufacturer-for-Construction.html,,SQ10ZA3,5000.0,USD,1.0,,"CE certifiedvalid since 2023-03-08(contact issuer for current status)Hot Sale Bob-Lift 10 Ton Hydraulic Liftingknuckle Boom Truck Mounted Crane Mobile CraneManufacturerfor ConstructionUS$ 5000-20000/ Set1 Set(MOQ)XUZHOU BOB-LIFT CONSTRUCTION MACHINERY CO., LTD.XUZHOU BOB-LIFT CONSTRUCTION MACHINERY CO., LTD.Diamond MemberAudited SupplierSecured TradingJiangsu, ChinaManufacturer/Factory & Trading CompanyEnjoy trading protection from Made-in-China.comView larger video & image5(5.0)""Fast Dispatch""Fast Dispatch","XUZHOU BOB-LIFT CONSTRUCTION MACHINERY CO., LTD.",https://boblift.en.made-in-china.com,5.0,5.0,Lift Construction Machinery Co.,in China,"Tongshan Economic Development Zone, Xuzhou, Jiangsu",,2025-08-15T20:25:29.809153,
manufacturer,ManufacturerSingle Phase 220V Wall 32 AMP 7kw Smart Home AC EV Smart EV Car Charger Wallbox with 4.3inch Screen,https://cnsuntree.en.made-in-china.com/product/iJXpzIblgkWL/China-Manufacturer-Single-Phase-220V-Wall-32-AMP-7kw-Smart-Home-AC-EV-Smart-EV-Car-Charger-Wallbox-with-4-3inch-Screen.html?ads_tp=&ads_id=aykTtJrCODIc,,7kw,159.0,USD,20.0,,"ManufacturerSingle Phase 220V Wall 32 AMP 7kw Smart Home AC EV Smart EV Car Charger Wallbox with 4.3inch ScreenUS$ 159-198/ Piece20 Pieces(MOQ)Wenzhou Xinchi International Trade Co., Ltd.Wenzhou Xinchi International Trade Co., Ltd.Diamond MemberAudited SupplierZhejiang, ChinaView larger video & image5(2.0)""Fast Dispatch""Fast Dispatch","Wenzhou Xinchi International Trade Co., Ltd.",https://cnsuntree.en.made-in-china.com?ads_tp=&ads_id=aykTtJrCODIc,,,Xinchi Electric Co.,"Zhejiang, China","Xinguang Industrial Zone, Liushi Town, Wenzhou",,2025-08-15T20:25:38.040979,
manufacturer,5kwh/10kwh/15kwh Solar BatteryManufacturer51.2V 100ah/200ah/280ah Wall Mounted Solar Energy Storage Battery,https://henanwanyanglidian.en.made-in-china.com/product/gaIYGcyogsVm/China-5kwh-10kwh-15kwh-Solar-Battery-Manufacturer-51-2V-100ah-200ah-280ah-Wall-Mounted-Solar-Energy-Storage-Battery.html?ads_tp=&ads_id=WjhaCnfyhiHt,,RS485,975.0,USD,10.0,,"5kwh/10kwh/15kwh Solar BatteryManufacturer51.2V 100ah/200ah/280ah Wall Mounted Solar Energy Storage BatteryUS$ 975/ Piece10 Pieces(MOQ)Henan Wanyang Lithium Battery Technology Co., Ltd.Henan Wanyang Lithium Battery Technology Co., Ltd.Diamond MemberAudited SupplierSecured TradingHenan, ChinaManufacturer/FactoryEnjoy trading protection from Made-in-China.comView larger video & image","Henan Wanyang Lithium Battery Technology Co., Ltd.",https://henanwanyanglidian.en.made-in-china.com?ads_tp=&ads_id=WjhaCnfyhiHt,,,"Post a Sourcing Request Now 











Product Group","Henan, China","Jiyuan, Henan, China",,2025-08-15T20:25:42.155118,
manufacturer,Custom Double-Sided PCB LED Rigid PCB IP Camera Automobile Bare PCBManufacturer,https://haizhanni.en.made-in-china.com/product/CALYsyivMXVW/China-Custom-Double-Sided-PCB-LED-Rigid-PCB-IP-Camera-Automobile-Bare-PCB-Manufacturer.html,,2128,0.01,USD,1.0,,"Custom Double-Sided PCB LED Rigid PCB IP Camera Automobile Bare PCBManufacturerUS$ 0.01-8.42/ Piece1 Piece(MOQ)Zhejiang Haizhanni Electronic Circuit Co., Ltd.Zhejiang Haizhanni Electronic Circuit Co., Ltd.Diamond MemberAudited SupplierSecured TradingZhejiang, ChinaEnjoy trading protection from Made-in-China.comView larger video & image","Zhejiang Haizhanni Electronic Circuit Co., Ltd.",https://haizhanni.en.made-in-china.com,,,Our company,"Zhejiang, China","Jinhai 1st Binhai 11th Intersection, Xinghai Street, Wenzhou Bay New Area",,2025-08-15T20:25:48.703700,
manufacturer,Professional HardwareManufacturerGn617-Ni Retractable Stainless Steel Indexing Index Locking Spring Handle Plunger,https://zchardware.en.made-in-china.com/product/KnqRHvBuCXYL/China-Professional-Hardware-Manufacturer-Gn617-Ni-Retractable-Stainless-Steel-Indexing-Index-Locking-Spring-Handle-Plunger.html,,ZPXAN,1.91,USD,100.0,,"Professional HardwareManufacturerGn617-Ni Retractable Stainless Steel Indexing Index Locking Spring Handle PlungerUS$ 1.91/ Piece100 Pieces(MOQ)Dongguan Zhengchen Hardware Co., Ltd.Dongguan Zhengchen Hardware Co., Ltd.Diamond MemberAudited SupplierSecured TradingGuangdong, ChinaISO9001:2015Enjoy trading protection from Made-in-China.comView larger video & image","Dongguan Zhengchen Hardware Co., Ltd.",https://zchardware.en.made-in-china.com,,,Dongguan Zhengchen Hardware Co.,"Guangdong, China","Room 101, No. 17 Wushaxing 3rd Road, Chang′an Town",,2025-08-15T20:25:54.155856,
