keyword,title,listing_url,item_number,sku,price,currency,min_order_quantity,max_order_quantity,description,seller_name,seller_profile_url,seller_rating,seller_total_reviews,seller_business_name,seller_country,seller_address,seller_email,scraped_at,last_updated
phone,Cheap Original Unlocked Google Pixel 8 PRO Used MobilePhones5g Smartphones,https://szananda.en.made-in-china.com/product/BFIaOGwlSkfZ/China-Cheap-Original-Unlocked-Google-Pixel-8-PRO-Used-Mobile-Phones-5g-Smartphones.html,,Google,489.0,USD,2,,"Cheap Original Unlocked Google Pixel 8 PRO Used MobilePhones5g SmartphonesUS$ 489-539/ Piece2 Pieces(MOQ)Ananda International Industrial LimitedAnanda International Industrial LimitedDiamond MemberAudited SupplierGuangdong, ChinaView larger video & image5(4.1)""Fast Dispatch""Fast Dispatch",Ananda International Industrial Limited,https://szananda.en.made-in-china.com,4.1,4.0,Ananda International Industrial Limited,"GuangDong,China","No. 2, 3rd Floor, Yuhua Building",,2025-08-14T12:16:41.630434,
phone,Brand SmartPhoneManufacturers OEM ODM Customized 4G 5g MobilePhonesfor Government and Enterprises,https://5gandroidphone.en.made-in-china.com/product/pREUFyelsmkn/China-Brand-Smart-Phone-Manufacturers-OEM-ODM-Customized-4G-5g-Mobile-Phones-for-Government-and-Enterprises.html,8517130000,i16promax,75.0,USD,1,,"Brand SmartPhoneManufacturers OEM ODM Customized 4G 5g MobilePhonesfor Government and EnterprisesUS$ 75-85/ Piece1 Piece(MOQ)Shenzhen Chuangxinding Technology Co., Ltd.Shenzhen Chuangxinding Technology Co., Ltd.Diamond MemberAudited SupplierGuangdong, ChinaTrading CompanyView larger video & image5(4.8)""Fast Dispatch""Fast Dispatch","Shenzhen Chuangxinding Technology Co., Ltd.",https://5gandroidphone.en.made-in-china.com,4.8,4.0,Shenzhen Chuangxinding Technology Co.,"Guangdong, China","Shenzhen, Guangdong, China",,2025-08-14T12:16:46.417706,
phone,Original 99% NewPhone16 5g Us Version Unlocked Smartphone,https://js-yunzhisheng.en.made-in-china.com/product/eZHGIvSOwKfM/China-Original-99-New-Phone-16-5g-Us-Version-Unlocked-Smartphone.html,,,276.0,USD,5,,"Original 99% NewPhone16 5g Us Version Unlocked SmartphoneUS$ 276/ Piece5 Pieces(MOQ)Danyang Yunzhisheng Trading Co., LtdDanyang Yunzhisheng Trading Co., LtdDiamond MemberAudited SupplierJiangsu, ChinaView larger video & image5(5.0)""Helpful Service""Helpful Service","Danyang Yunzhisheng Trading Co., Ltd",https://js-yunzhisheng.en.made-in-china.com,5.0,5.0,Focus Technology,"Jiangsu, China","Room 108, Building 2, Yuhexian",,2025-08-14T12:16:50.315343,
phone,Wholesale 2025 Latest Brand New Original Unlocked SmartPhoneGlobal Version I-Phone16 PRO 128GB 256GB 512GB,https://hbdingfeng.en.made-in-china.com/product/ydUGiYOrZpql/China-Wholesale-2025-Latest-Brand-New-Original-Unlocked-Smart-Phone-Global-Version-I-Phone-16-PRO-128GB-256GB-512GB.html,,Phone,319.0,USD,1,,"Wholesale 2025 Latest Brand New Original Unlocked SmartPhoneGlobal Version I-Phone16 PRO 128GB 256GB 512GBUS$ 319-489/ Piece1 Piece(MOQ)Hubei Dingfeng Import and Export Trading Co., Ltd.Hubei Dingfeng Import and Export Trading Co., Ltd.Diamond MemberHubei, ChinaView larger video & image5(5.0)""Fast Delivery""Fast Delivery","Hubei Dingfeng Import and Export Trading Co., Ltd.",https://hbdingfeng.en.made-in-china.com,5.0,5.0,Hubei Dingfeng Import and Export Trading Co.,"Hubei, China","Shiyan, Hubei, China",,2025-08-14T12:16:54.073805,
phone,Best Price I14 I15 I16 PRO Max 16GB+1tb High-Performance Cell Smart MobilePhone,https://cy-electronic.en.made-in-china.com/product/wmjrPMdunypQ/China-Best-Price-I14-I15-I16-PRO-Max-16GB-1tb-High-Performance-Cell-Smart-Mobile-Phone.html,8517130000,i16,45.0,USD,1,,"Best Price I14 I15 I16 PRO Max 16GB+1tb High-Performance Cell Smart MobilePhoneUS$ 45-99/ Piece1 Piece(MOQ)Chaozhou Chengying Technology Co., LtdChaozhou Chengying Technology Co., LtdDiamond MemberAudited SupplierGuangdong, ChinaView larger video & image5(4.6)""Fast Dispatch""Fast Dispatch","Chaozhou Chengying Technology Co., Ltd",https://cy-electronic.en.made-in-china.com,4.6,4.0,Chaozhou Chengying Technology Co.,"Guangdong, China","No. 17, Building C, Chaoshan Commercial Plaza",,2025-08-14T12:16:58.002636,
phone,Alimoto RuggedPhoneKeyless Theft Proof and Water Proof 4G SmartPhone,https://cmtltd.en.made-in-china.com/product/lGOpYyXcZRWD/China-Alimoto-Rugged-Phone-Keyless-Theft-Proof-and-Water-Proof-4G-Smart-Phone.html,8523511000,M1-8GB,129.9,USD,1000,,"Alimoto RuggedPhoneKeyless Theft Proof and Water Proof 4G SmartPhoneUS$ 129.9-139.9/ Piece1000 Pieces(MOQ)Shenzhen Creative Memory Technology LimitedShenzhen Creative Memory Technology LimitedDiamond MemberAudited SupplierGuangdong, ChinaManufacturer/Factory & Trading CompanyView larger video & image5(5.0)""Fast Delivery""Fast Delivery",Shenzhen Creative Memory Technology Limited,https://cmtltd.en.made-in-china.com,5.0,5.0,,"Guangdong, China","1st Bld, 3rd Industrial Park, Bantian",,2025-08-14T12:17:01.904749,
phone,New OriginalPhone15 PRO Max Used MobilePhonesFactory Unlocked Second Hand Smartphones forPhone15promax CellPhones,https://szananda.en.made-in-china.com/product/WTSrpjKolNhc/China-New-Original-Phone-15-PRO-Max-Used-Mobile-Phones-Factory-Unlocked-Second-Hand-Smartphones-for-Phone-15promax-Cell-Phones.html,,,534.0,USD,1,,"New OriginalPhone15 PRO Max Used MobilePhonesFactory Unlocked Second Hand Smartphones forPhone15promax CellPhonesUS$ 534-754/ Piece1 Piece(MOQ)Ananda International Industrial LimitedAnanda International Industrial LimitedDiamond MemberAudited SupplierGuangdong, ChinaView larger video & image5(4.1)""On-time Delivery""On-time Delivery",Ananda International Industrial Limited,https://szananda.en.made-in-china.com,4.1,4.0,Ananda International Industrial Limited,"GuangDong,China","No. 2, 3rd Floor, Yuhua Building",,2025-08-14T12:17:05.092500,
phone,New Uniwa F400 4 Inch Global Version Factory Direct Android Handheld PDA CellPhoneRugged Smartphone 13MP Night Vision Camera Support Poc Radio,https://szconnectech.en.made-in-china.com/product/NnDpZWwlGjcO/China-New-Uniwa-F400-4-Inch-Global-Version-Factory-Direct-Android-Handheld-PDA-Cell-Phone-Rugged-Smartphone-13MP-Night-Vision-Camera-Support-Poc-Radio.html?ads_tp=&ads_id=iNpAYSguglDV,,UNIWA,101.4,USD,10,,"New Uniwa F400 4 Inch Global Version Factory Direct Android Handheld PDA CellPhoneRugged Smartphone 13MP Night Vision Camera Support Poc RadioUS$ 101.4-129.9/ Piece10 Pieces(MOQ)Shenzhen Connectech Technology Co., Ltd.Shenzhen Connectech Technology Co., Ltd.Diamond MemberAudited SupplierGuangdong, ChinaView larger video & image5(4.9)""On-time Delivery""On-time Delivery","Shenzhen Connectech Technology Co., Ltd.",https://szconnectech.en.made-in-china.com?ads_tp=&ads_id=iNpAYSguglDV,4.9,4.0,Shenzhen Connectech Technology Co.,"Shenzhen, China","8th Floor, Building 4, Block a",,2025-08-14T12:17:11.532624,
phone,Wholesale Original 5gPhoneSmartphone Waterproof MobilePhoneI-Phone16 PRO Max 256GB,https://hbdingfeng.en.made-in-china.com/product/GOTAmVMcYvfo/China-Wholesale-Original-5g-Phone-Smartphone-Waterproof-Mobile-Phone-I-Phone-16-PRO-Max-256GB.html,,phone,399.0,USD,1,,"Wholesale Original 5gPhoneSmartphone Waterproof MobilePhoneI-Phone16 PRO Max 256GBUS$ 399-559/ Piece1 Piece(MOQ)Hubei Dingfeng Import and Export Trading Co., Ltd.Hubei Dingfeng Import and Export Trading Co., Ltd.Diamond MemberHubei, ChinaView larger video & image5(5.0)""On-time Delivery""On-time Delivery","Hubei Dingfeng Import and Export Trading Co., Ltd.",https://hbdingfeng.en.made-in-china.com,5.0,5.0,Hubei Dingfeng Import and Export Trading Co.,"Hubei, China","Shiyan, Hubei, China",,2025-08-14T12:17:14.263972,
phone,High Performance S24 Ultra Amoled Display 128GB Large Memory GPS 4G 5g Unlocked Second-Hand MobilePhone,https://5gandroidphone.en.made-in-china.com/product/TYirUuXPqxcB/China-High-Performance-S24-Ultra-Amoled-Display-128GB-Large-Memory-GPS-4G-5g-Unlocked-Second-Hand-Mobile-Phone.html,,S24,65.0,USD,1,,"High Performance S24 Ultra Amoled Display 128GB Large Memory GPS 4G 5g Unlocked Second-Hand MobilePhoneUS$ 65-70/ Piece1 Piece(MOQ)Shenzhen Chuangxinding Technology Co., Ltd.Shenzhen Chuangxinding Technology Co., Ltd.Diamond MemberAudited SupplierGuangdong, ChinaTrading CompanyView larger video & image5(4.8)""On-time Delivery""On-time Delivery","Shenzhen Chuangxinding Technology Co., Ltd.",https://5gandroidphone.en.made-in-china.com,4.8,4.0,Shenzhen Chuangxinding Technology Co.,"Guangdong, China","Shenzhen, Guangdong, China",,2025-08-14T12:17:18.199106,
